Question,Answer
What are the admission requirements?,Admission requirements vary by program. Please visit the admissions page at university.edu/admissions for detailed criteria for each course.
How can I apply for admission?,You can apply online through our admissions portal at university.edu/apply. The application window is open from May 1st to July 31st.
What is the application deadline?,"The deadline for all undergraduate applications is July 31st. For postgraduate programs, please check the specific department's page."
How much is the admission fee?,The one-time admission processing fee is ₹5000 for all undergraduate programs.
Where can I check my application status?,You can track your application status by logging into the admissions portal where you submitted your application.
Are there any entrance exams?,"Yes, admission to engineering and medical programs requires passing the University Entrance Test (UET). Other programs base admission on previous academic performance."
What is the annual tuition fee?,"Tuition fees depend on your course. For a detailed fee structure, please see university.edu/fees. For B.Tech, it is ₹1,50,000 per year."
How can I pay my fees?,"Fees can be paid online via the student portal, or through a bank transfer. Visit university.edu/payment-options for more details."
Are there any scholarships available?,"Yes, we offer merit-based and need-based scholarships. You can find more information and apply at university.edu/scholarships."
When is the last day to pay the semester fees?,The deadline for fee payment for the upcoming semester is August 15th. A late fee will be applied after this date.
When does the new semester start?,The new academic semester begins on September 1st. Please refer to the academic calendar for all important dates.
Where can I find my class timetable?,Your personalized class timetable will be available on the student portal two weeks before the semester starts.
How do I register for courses?,Course registration is done online through the student portal. The registration period is from August 20th to August 28th.
Where can I find the academic calendar?,The official academic calendar is available for download on the university's main website under the 'Academics' section.
What are the library hours?,The central library is open from 8:00 AM to 10:00 PM on weekdays and 10:00 AM to 6:00 PM on weekends.
How can I apply for a hostel?,"You can fill out the hostel application form online at hostel.university.edu. Allotment is based on a first-come, first-served basis."
What are the hostel fees?,"Hostel fees are ₹80,000 per year, which includes lodging and meals. This can be paid in two installments."
What items are provided in the hostel room?,"Each room is furnished with a bed, a mattress, a study table, a chair, and a wardrobe."
Are there rules for the hostel?,"Yes, all residents must abide by the hostel's code of conduct. You can find the rulebook on the hostel's website."
When will the final exams start?,The end-of-semester exams will begin in the first week of December as per the academic calendar.
Where can I find the exam schedule?,The detailed examination schedule will be published on the university's notice board and the student portal one month before the exams.
What should I do if I miss an exam due to illness?,You must submit a medical certificate to the examination office within three days of the exam. A make-up exam may be scheduled for you.
When will the exam results be announced?,Results are typically announced within 4-5 weeks after the final exam. You can check your results on the student portal.
